	transcript	riboseq(control)	riboseq(RK33)	rnaseq(control)	rnaseq(RK33)	TE(control)	TE(RK33)	log2(TE(control))	log2(TE(RK33))
18	NM_213539	7.8845855579	3.85876178632	22.7023017016	23.9284790332	0.347303355472	0.161262309274	-1.5257317455	-2.63251880814
19	NM_213538	4.91270330916	5.20932841153	37.7236994498	51.7616196164	0.130228566679	0.100640753712	-2.94088214496	-3.31271346299
20	NM_001142563	42.3646846047	18.7177626781	36.5942980256	35.4574220709	1.15768540156	0.527894065188	0.211243257414	-0.921679648185
21	NM_001044945	13.0622568326	4.78798114953	7.41753598798	9.70566721305	1.76099675873	0.493318083593	0.816392253764	-1.01940992162
22	NM_213530	79.6956353776	42.5008953258	272.865630928	255.420168906	0.292069159119	0.166396003526	-1.77561806926	-2.58730731143
23	NM_213533	7.94491867333	2.80820883926	20.9868421591	33.3833315338	0.378566656818	0.0841200895847	-1.40138074714	-3.57140580329
24	NM_213532	5.55853284471	4.58434092563	29.7271415884	29.4588407673	0.186985110162	0.155618510648	-2.41900470365	-2.68391441739
25	NM_213535	9.83779232808	1.73863172868	80.4968613643	89.4978877218	0.122213365358	0.0194265113171	-3.03252602674	-5.68582934997
26	NM_213536	9.35272398524	0.826452832509	152.987171981	118.827140166	0.0611340406136	0.00695508476729	-4.03188026556	-7.16771618649
27	NM_130939	1259.45508343	373.401756383	2317.39947956	1638.06534082	0.543477762267	0.227952907053	-0.879707089853	-2.13319228707
28	NM_001164240	21.3604147792	5.66253489112	49.5727964677	49.1928785223	0.430889848894	0.115108834067	-1.21460898373	-3.11892953704
29	NM_001044940	9.04158569974	7.98959118617	38.0073852855	45.6146150897	0.237890231907	0.175154194998	-2.07163206091	-2.51330255334
30	NM_199699	2.34018423568	2.2057623919	20.7667532352	31.9926505784	0.112688979793	0.0689459095143	-3.14958165813	-3.85839122902
31	NM_199698	4.37734461521	1.03147670827	28.8769030034	27.6670599562	0.151586360029	0.0372817606895	-2.72178815143	-4.74538619464
32	NM_199697	4.35501122432	6.15728443199	92.3717821293	89.7545690777	0.0471465541092	0.0686013480457	-4.40670386005	-3.86561926353
33	NM_199696	1.35167410921	10.5107721579	16.4953961521	16.6824716337	0.0819425066695	0.630048855391	-3.60924416339	-0.666464392153
34	NM_130931	6.89415204415	0.812268382077	14.9445921096	15.7602784135	0.461314165926	0.0515389614806	-1.11617849987	-4.27819272285
35	NM_199694	197.998838023	94.3978549196	398.092447322	306.937151306	0.497368988924	0.30754783029	-1.00761153691	-1.70111729694
36	NM_199692	38.6153646935	31.7246481387	144.179562175	148.737504775	0.26782828378	0.213292862393	-1.90061977159	-2.22909240657
37	NM_199691	13.0596444139	13.0335767659	19.7357444685	31.0320246111	0.661725451236	0.420004074154	-0.595695325434	-1.25152477239
38	NM_001002229	7.18050220791	5.07603679777	7.43409256883	10.2612358916	0.965888188966	0.494680840728	-0.0500719022663	-1.01543007071
39	NM_200771	27.2805297367	25.3117430433	150.798210779	186.077670564	0.180907516049	0.136027837013	-2.46667574695	-2.87802617715
40	NM_001123062	4.29880868727	7.59727887108	42.6137703865	48.714985851	0.100878393258	0.15595362984	-3.30931089247	-2.68081096288
41	NM_200774	37.1035021955	21.6675901013	155.954825734	130.982565815	0.237911856981	0.1654234666	-2.07150092072	-2.59576418839
42	NM_001142586	972.709588888	668.13993006	3.0455214314	4.92671253201	319.390163819	135.615773342	8.31917607288	7.0833811765
43	NM_200779	1.75634197524	2.79358275155	1.71069355679	2.62412891833	1.02668415875	1.06457526993	0.0379924302643	0.0902779579715
44	NM_001002222	8.54553283242	0.823773207284	16.7902283275	38.6014311749	0.508958702987	0.0213404835575	-0.974379494407	-5.55026332298
45	NM_001002225	1.08910009565	5.38934241831	3.17121487427	4.80707827005	0.343433081273	1.12112641308	-1.54189908091	0.164948959005
46	NM_200171	62.8568169188	12.2904510245	180.760529974	177.212326185	0.347735298894	0.0693543800766	-1.52393857124	-3.84986919093
