"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
NM_212789	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_131586	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_001044895	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_170766	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_131184	0	134	-8.06608919045777	-7.81867253114504	-10.9839750342858	4.56389579554594e-28	6.80853594214324e-28	2.04231195848981e-29	TRUE
NM_001020552	135	434	-1.68473563539365	-1.43731897608091	-10.9803759701293	4.74943018999005e-28	7.08212677152691e-28	2.12509779449733e-29	TRUE
NM_001114593	11628	11968	-0.0415791037514008	0.205837555561334	10.9782330951957	4.86343019216809e-28	7.25130097730178e-28	2.17586103881306e-29	TRUE
NM_001013289	2314	1964	0.236593934792797	0.484010594105532	10.9734249692507	5.12919247790832e-28	7.64668683664281e-28	2.29450246458352e-29	TRUE
NM_001024949	39	228	-2.54748779530249	-2.30007113598976	-10.9672837055263	5.48968535251515e-28	8.18319365695448e-28	2.45548934004597e-29	TRUE
NM_001005401	36836	40414	-0.133738741687296	0.113677917625439	10.9659209277704	5.57302649868103e-28	8.30649021111284e-28	2.49248631055551e-29	TRUE
NM_131772	1192	872	0.450984195685235	0.69840085499797	10.9499550321164	6.64806117189413e-28	9.90769287737455e-28	2.97295105855979e-29	TRUE
NM_001160335	24589	32010	-0.380509613131958	-0.133092953819223	-10.9474561922125	6.83399139781181e-28	1.01836400703287e-27	3.0557531306015e-29	TRUE
NM_001099973	2793	4310	-0.62587229569651	-0.378455636383775	-10.9462467752305	6.92582315720541e-28	1.0319320517228e-27	3.09646607288057e-29	TRUE
NM_001202418	684	1338	-0.968009885755563	-0.720593226442829	-10.9440361646057	7.09685047891502e-28	1.05729567263286e-27	3.17257340136435e-29	TRUE
NM_001326600	254	84	1.5963672639934	1.84378392330614	10.9419897049193	7.25890895695551e-28	1.08131754570455e-27	3.24465461528668e-29	TRUE
NM_001126470	84	330	-1.97400479146706	-1.72658813215432	-10.9394406646828	7.46590836215967e-28	1.11202784576984e-27	3.33680545223507e-29	TRUE
NM_001004121	14348	14994	-0.0635356568503358	0.183881002462399	10.935653364535	7.78432101892303e-28	1.15932408151025e-27	3.47872486359617e-29	TRUE
NM_001097587	584	1184	-1.01962880674893	-0.772212147436197	-10.9341961827442	7.91038834891811e-28	1.17796677821649e-27	3.53466505632641e-29	TRUE
NM_001144786	173	504	-1.54265169586319	-1.29523503655046	-10.9288887067227	8.38692117830838e-28	1.24878859003149e-27	3.74717646842855e-29	TRUE
NR_135206	91	344	-1.9184701145034	-1.67105345519067	-10.9143625718257	9.8417260952678e-28	1.465239990621e-27	4.39667118780852e-29	TRUE
NM_001004556	0	132	-8.04439411935845	-7.79697746004572	-10.9123949261873	1.00571332896011e-27	1.49697300657792e-27	4.49138556180676e-29	TRUE
NM_001040293	0	132	-8.04439411935845	-7.79697746004572	-10.9123949261873	1.00571332896011e-27	1.49697300657792e-27	4.49138556180676e-29	TRUE
